player,team,position,semifinalist_team,appearances,minutes_played,goals,assists
Kylian Mbappe,France,Forward,Yes,8,716,10,4
Lionel Messi,Argentina,Forward,Yes,8,762,8,4
Jude Bellingham,England,Midfielder,Yes,8,628,7,1
Erling Haaland,Norway,Forward,No,6,490,7,0
Harry Kane,England,Forward,Yes,8,660,6,2
Ousmane Dembele,France,Forward,Yes,8,596,6,2
Mikel Oyarzabal,Spain,Forward,Yes,8,617,5,1
Vinicius Junior,Brazil,Forward,No,5,449,4,1
Julian Quinones,Mexico,Forward,No,5,414,4,1
Ismaila Sarr,Senegal,Forward,No,4,386,4,1
Cristiano Ronaldo,Portugal,Forward,No,5,454,3,0
Jonathan David,Canada,Forward,No,5,421,3,0
Bradley Barcola,France,Forward,Yes,8,400,3,1
Ismael Saibari,Morocco,Midfielder,No,6,385,3,0
Cody Gakpo,Netherlands,Forward,No,4,372,3,1
Yoane Wissa,DR Congo,Forward,No,4,367,3,0
Bukayo Saka,England,Midfielder,Yes,8,364,3,3
Kai Havertz,Germany,Forward,No,4,355,3,0
Charles De Ketelaere,Belgium,Midfielder,No,6,353,3,1
